Jugador,Equipo,Posición,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Anuar Mohamed,Real Valladolid,Extremo derecho,11.0,776.0,2.0,0.0,0.0,0.0,6.0,3.0,50.0,6.0,0.0,0.0,0.0,2.0,20.0,12.0,9.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Arda Guler,Real Madrid,Extremo derecho,15.0,590.0,1.0,3.0,0.0,0.0,19.0,8.0,42.0,15.0,4.0,27.0,0.0,2.0,20.0,10.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,89.0,8.0,4.0,0.0,1.0,1.0,0.0,6.0
Aridane Hernandez,Rayo Vallecano,Defensa central,4.0,204.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0
Aritz Elustondo,Real Sociedad,Defensa central,8.0,444.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Arnau Martinez,Fc Girona,Lateral derecho,17.0,1353.0,2.0,2.0,0.0,0.0,10.0,3.0,30.0,36.0,4.0,11.0,0.0,10.0,21.0,8.0,7.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,14.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0
Arnaut Danjuma,Fc Girona,Extremo izquierdo,17.0,947.0,3.0,0.0,0.0,0.0,21.0,11.0,52.0,41.0,9.0,22.0,0.0,14.0,7.0,10.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,10.0,83.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
Asier Villalibre,Deportivo Alaves,Delantero centro,8.0,213.0,1.0,0.0,0.0,0.0,6.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Augusto Batalla,Rayo Vallecano,Portero,15.0,1350.0,0.0,0.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
Aurelien Tchouameni,Real Madrid,Centrocampista defensivo,15.0,1274.0,0.0,0.0,0.0,0.0,9.0,1.0,11.0,3.0,1.0,33.0,0.0,0.0,11.0,13.0,24.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,4.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Axel Witsel,Atletico Madrid,Defensa central,11.0,671.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0
Ayoze Perez,Fc Villarreal,Delantero centro,13.0,749.0,8.0,0.0,0.0,0.0,28.0,9.0,32.0,7.0,3.0,43.0,0.0,6.0,24.0,11.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Benat Prados,Athletic Bilbao,Centrocampista,16.0,887.0,1.0,0.0,0.0,0.0,10.0,5.0,50.0,5.0,1.0,20.0,0.0,1.0,10.0,19.0,20.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Benat Turrientes,Real Sociedad,Centrocampista,12.0,561.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,16.0,4.0,25.0,0.0,2.0,12.0,10.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,90.0,6.0,6.0,2.0,0.0,0.0,0.0,5.0
Benito Ramirez,Ud Las Palmas,Extremo izquierdo,13.0,346.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,8.0,33.0,0.0,2.0,6.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,84.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0
Bertug Yildirim,Fc Getafe,Delantero centro,15.0,865.0,1.0,0.0,0.0,0.0,18.0,7.0,39.0,4.0,2.0,50.0,0.0,5.0,14.0,26.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Bojan Miovski,Fc Girona,Delantero centro,10.0,638.0,2.0,1.0,0.0,0.0,11.0,4.0,36.0,3.0,1.0,33.0,0.0,1.0,9.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Borja Iglesias,Celta Vigo,Delantero centro,20.0,1078.0,5.0,0.0,0.0,0.0,22.0,13.0,59.0,1.0,0.0,0.0,0.0,1.0,21.0,22.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,10.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Borja Mayoral,Fc Getafe,Delantero centro,6.0,158.0,2.0,0.0,0.0,0.0,5.0,3.0,60.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Boyomo,Ca Osasuna,Defensa central,20.0,1772.0,1.0,0.0,0.0,0.0,6.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,20.0,25.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,7.0,0.0,88.0,0.0,3.0,0.0,0.0,0.0,0.0,75.0
Brahim Diaz,Real Madrid,Extremo derecho,15.0,683.0,3.0,2.0,0.0,0.0,13.0,8.0,62.0,5.0,0.0,0.0,0.0,2.0,17.0,8.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brais Mendez,Real Sociedad,Centrocampista ofensivo,17.0,1154.0,2.0,1.0,0.0,0.0,20.0,6.0,30.0,36.0,6.0,17.0,0.0,5.0,33.0,31.0,6.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,83.0,15.0,12.0,0.0,4.0,2.0,0.0,14.0
Brian Olivan,Espanyol Barcelona,Lateral izquierdo,16.0,999.0,0.0,1.0,0.0,0.0,6.0,1.0,17.0,54.0,14.0,26.0,0.0,6.0,6.0,13.0,10.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,75.0,5.0,5.0,1.0,2.0,0.0,0.0,20.0
Bryan Gil,Fc Girona,Extremo izquierdo,18.0,1218.0,2.0,3.0,0.0,0.0,24.0,10.0,42.0,59.0,9.0,15.0,0.0,15.0,30.0,16.0,7.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,90.0,10.0,1.0,0.0,0.0,0.0,0.0,6.0
Bryan Zaragoza,Ca Osasuna,Extremo izquierdo,15.0,1051.0,1.0,5.0,0.0,0.0,18.0,7.0,39.0,47.0,14.0,30.0,0.0,8.0,19.0,8.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,64.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0
Carl Starfelt,Celta Vigo,Defensa central,18.0,1446.0,1.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,22.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
Carles Alena,Fc Getafe,Centrocampista,9.0,438.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,6.0,2.0,33.0,1.0,1.0,11.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,81.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0
Carles Perez,Fc Getafe,Extremo derecho,17.0,1105.0,0.0,0.0,0.0,0.0,26.0,5.0,19.0,33.0,10.0,30.0,0.0,5.0,6.0,27.0,6.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,14.0,72.0,2.0,7.0,3.0,1.0,0.0,0.0,13.0
Carlos Dominguez,Celta Vigo,Defensa central,9.0,524.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,85.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0
Carlos Martin,Deportivo Alaves,Extremo izquierdo,13.0,676.0,2.0,1.0,0.0,0.0,14.0,6.0,43.0,11.0,3.0,27.0,0.0,8.0,17.0,16.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Carlos Romero,Espanyol Barcelona,Lateral izquierdo,17.0,1051.0,1.0,1.0,0.0,0.0,12.0,2.0,17.0,42.0,10.0,24.0,0.0,8.0,4.0,16.0,8.0,20.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,15.0,73.0,8.0,2.0,1.0,0.0,0.0,0.0,30.0
Carlos Vicente,Deportivo Alaves,Extremo derecho,19.0,1684.0,3.0,3.0,0.0,0.0,19.0,8.0,42.0,135.0,40.0,30.0,0.0,16.0,33.0,12.0,8.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,36.0,73.0,35.0,19.0,6.0,1.0,0.0,0.0,11.0
Cedric Bakambu,Real Betis Sevilla,Delantero centro,11.0,341.0,0.0,1.0,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Cenk Ozkacar,Real Valladolid,Defensa central,4.0,196.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Cesar Azpilicueta,Atletico Madrid,Defensa central,6.0,480.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,3.0,1.0,33.0,0.0,0.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
