Jugador,Equipo,Posición,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Cristian Portu,Fc Girona,Extremo derecho,11.0,224.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,9.0,0.0,1.0,5.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,87.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
Cyle Larin,Rcd Mallorca,Delantero centro,17.0,1058.0,5.0,2.0,0.0,0.0,24.0,11.0,46.0,3.0,0.0,0.0,0.0,6.0,22.0,18.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Dakonam Djene,Fc Getafe,Defensa central,18.0,1442.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,5.0,31.0,0.0,1.0,14.0,20.0,17.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,6.0,78.0,0.0,3.0,0.0,0.0,0.0,0.0,56.0
Daley Blind,Fc Girona,Defensa central,17.0,1356.0,0.0,1.0,0.0,0.0,4.0,2.0,50.0,21.0,3.0,14.0,0.0,6.0,8.0,9.0,17.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,7.0,91.0,0.0,9.0,0.0,0.0,0.0,0.0,42.0
Daley Sinkgraven,Ud Las Palmas,Lateral izquierdo,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Damian Rodriguez,Celta Vigo,Centrocampista defensivo,11.0,622.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,6.0,29.0,0.0,2.0,7.0,9.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,90.0,13.0,6.0,1.0,0.0,0.0,0.0,9.0
Dani Cardenas,Rayo Vallecano,Portero,5.0,450.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
Dani Ceballos,Real Madrid,Centrocampista,11.0,589.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,6.0,2.0,33.0,0.0,2.0,17.0,7.0,9.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,94.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
Dani Gomez,Fc Valencia,Delantero centro,14.0,531.0,2.0,0.0,0.0,0.0,13.0,6.0,46.0,1.0,0.0,0.0,0.0,5.0,8.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Dani Olmo,Fc Barcelona,Centrocampista ofensivo,12.0,652.0,5.0,0.0,0.0,0.0,24.0,8.0,33.0,10.0,2.0,20.0,3.0,2.0,8.0,11.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,9.0,80.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0
Dani Parejo,Fc Villarreal,Centrocampista,19.0,1331.0,3.0,1.0,0.0,0.0,8.0,4.0,50.0,15.0,6.0,40.0,0.0,2.0,19.0,12.0,10.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,6.0,10.0,89.0,8.0,6.0,0.0,0.0,0.0,0.0,18.0
Dani Rodriguez,Rcd Mallorca,Centrocampista ofensivo,20.0,1070.0,3.0,4.0,0.0,0.0,14.0,5.0,36.0,66.0,19.0,29.0,0.0,5.0,22.0,22.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,76.0,32.0,12.0,2.0,0.0,0.0,0.0,10.0
Dani Vivian,Athletic Bilbao,Defensa central,17.0,1405.0,3.0,0.0,0.0,0.0,10.0,4.0,40.0,4.0,0.0,0.0,1.0,2.0,11.0,20.0,22.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,86.0,0.0,5.0,0.0,0.0,0.0,0.0,74.0
Daniel Carvajal,Real Madrid,Lateral derecho,8.0,610.0,1.0,0.0,0.0,0.0,3.0,1.0,33.0,14.0,1.0,7.0,0.0,2.0,6.0,3.0,9.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Daniel Raba,Cd Leganes,Extremo derecho,12.0,600.0,1.0,4.0,0.0,0.0,12.0,4.0,33.0,32.0,7.0,22.0,0.0,5.0,22.0,13.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,17.0,74.0,12.0,12.0,3.0,1.0,0.0,0.0,4.0
Dario Essugo,Ud Las Palmas,Centrocampista defensivo,13.0,1030.0,1.0,0.0,0.0,0.0,13.0,3.0,23.0,1.0,0.0,0.0,0.0,3.0,20.0,20.0,23.0,23.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,7.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0
Darko Brasanac,Cd Leganes,Centrocampista,17.0,1001.0,1.0,2.0,0.0,0.0,7.0,2.0,29.0,4.0,1.0,25.0,1.0,3.0,5.0,26.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Darwin Machis,Real Valladolid,Extremo izquierdo,7.0,304.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,23.0,6.0,26.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,64.0,8.0,3.0,2.0,1.0,0.0,0.0,6.0
David Lopez,Fc Girona,Defensa central,19.0,1657.0,1.0,0.0,0.0,0.0,8.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,12.0,14.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,2.0,92.0,0.0,4.0,0.0,0.0,0.0,0.0,73.0
David Soria,Fc Getafe,Portero,20.0,1800.0,0.0,0.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,51.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0
David Torres,Real Valladolid,Defensa central,11.0,823.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
Denis Suarez,Fc Villarreal,Centrocampista ofensivo,10.0,313.0,0.0,1.0,0.0,0.0,5.0,2.0,40.0,11.0,2.0,18.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,79.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0
Diego Conde,Fc Villarreal,Portero,15.0,1332.0,0.0,1.0,43.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Diego Garcia,Cd Leganes,Delantero centro,13.0,423.0,1.0,0.0,0.0,0.0,12.0,4.0,33.0,4.0,1.0,25.0,0.0,3.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Diego Javier Llorente,Athletic Bilbao,Delantero centro,19.0,1674.0,0.0,0.0,0.0,0.0,6.0,2.0,33.0,1.0,0.0,0.0,0.0,4.0,12.0,15.0,33.0,9.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,5.0,5.0,86.0,0.0,4.0,0.0,0.0,0.0,0.0,91.0
Diego Lopez,Fc Valencia,Extremo derecho,20.0,1482.0,3.0,2.0,0.0,0.0,19.0,6.0,32.0,52.0,8.0,15.0,2.0,16.0,20.0,12.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Diego Rico,Fc Getafe,Lateral izquierdo,18.0,1527.0,0.0,1.0,0.0,0.0,11.0,3.0,27.0,91.0,26.0,29.0,0.0,8.0,31.0,16.0,18.0,21.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,23.0,69.0,6.0,7.0,0.0,1.0,0.0,0.0,31.0
Dimitri Foulquier,Fc Valencia,Lateral derecho,19.0,1180.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,38.0,2.0,5.0,0.0,11.0,17.0,18.0,7.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,76.0,0.0,4.0,0.0,0.0,0.0,0.0,33.0
Dinko Horkas,Ud Las Palmas,Portero,3.0,211.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Djibril Sow,Fc Sevilla,Centrocampista,15.0,922.0,1.0,0.0,0.0,0.0,11.0,4.0,36.0,3.0,0.0,0.0,0.0,3.0,21.0,16.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Dodi Lukebakio,Fc Sevilla,Extremo derecho,20.0,1644.0,9.0,0.0,0.0,0.0,52.0,24.0,46.0,62.0,15.0,24.0,2.0,29.0,28.0,18.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,25.0,81.0,34.0,3.0,0.0,0.0,0.0,0.0,5.0
Domingos Duarte,Fc Getafe,Defensa central,6.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Dominik Greif,Rcd Mallorca,Portero,15.0,1350.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
Donny van de Beek,Fc Girona,Centrocampista,16.0,964.0,2.0,2.0,0.0,0.0,12.0,3.0,25.0,7.0,0.0,0.0,0.0,4.0,4.0,18.0,4.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,11.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Eder Militao,Real Madrid,Defensa central,12.0,938.0,1.0,1.0,0.0,0.0,10.0,3.0,30.0,2.0,0.0,0.0,0.0,3.0,8.0,18.0,12.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,6.0,90.0,0.0,3.0,0.0,0.0,0.0,0.0,34.0
Edu Exposito,Espanyol Barcelona,Centrocampista,3.0,73.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,79.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0
Eduardo Camavinga,Real Madrid,Centrocampista,8.0,520.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,10.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Endrick,Real Madrid,Delantero centro,13.0,100.0,1.0,0.0,0.0,0.0,11.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enric Franquesa,Cd Leganes,Lateral izquierdo,12.0,616.0,1.0,0.0,0.0,0.0,3.0,1.0,33.0,16.0,2.0,13.0,0.0,1.0,6.0,8.0,5.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Enzo Barrenechea,Fc Valencia,Centrocampista defensivo,15.0,991.0,1.0,1.0,0.0,0.0,5.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,17.0,13.0,7.0,13.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0
Enzo Loiodice,Ud Las Palmas,Centrocampista,12.0,307.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,3.0,38.0,0.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,83.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0
Eray Comert,Real Valladolid,Defensa central,16.0,1072.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,13.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,85.0,0.0,3.0,0.0,1.0,0.0,0.0,34.0
Eric Bailly,Fc Villarreal,Defensa central,9.0,579.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0
Eric Garcia,Fc Barcelona,Defensa central,11.0,536.0,0.0,1.0,0.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,3.0,3.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Fabio Gonzalez,Espanyol Barcelona,Centrocampista defensivo,2.0,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Silva,Ud Las Palmas,Delantero centro,15.0,1112.0,6.0,2.0,0.0,0.0,32.0,17.0,53.0,12.0,2.0,17.0,1.0,11.0,28.0,24.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Federico Valverde,Real Madrid,Centrocampista,20.0,1738.0,5.0,2.0,0.0,0.0,25.0,14.0,56.0,17.0,0.0,0.0,0.0,8.0,9.0,6.0,39.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,24.0,90.0,3.0,1.0,0.0,2.0,2.0,1.0,20.0
Fer Lopez,Fc Barcelona,Centrocampista,1.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferland Mendy,Real Madrid,Lateral izquierdo,12.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,94.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
Fermin Lopez,Fc Barcelona,Centrocampista,12.0,395.0,0.0,0.0,0.0,0.0,12.0,4.0,33.0,9.0,4.0,44.0,0.0,2.0,7.0,6.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fernando Calero,Espanyol Barcelona,Defensa central,5.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Ferran Torres,Fc Barcelona,Extremo derecho,14.0,532.0,3.0,2.0,0.0,0.0,16.0,8.0,50.0,12.0,2.0,17.0,1.0,7.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,76.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
Florian Lejeune,Rayo Vallecano,Defensa central,20.0,1795.0,0.0,2.0,0.0,0.0,28.0,9.0,32.0,2.0,0.0,0.0,2.0,4.0,8.0,24.0,15.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,8.0,82.0,0.0,13.0,0.0,12.0,7.0,0.0,95.0
Fran Beltran,Celta Vigo,Centrocampista,16.0,1216.0,1.0,0.0,0.0,0.0,11.0,1.0,9.0,2.0,1.0,50.0,0.0,1.0,4.0,10.0,9.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,7.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
Fran Garcia,Real Madrid,Lateral izquierdo,15.0,858.0,0.0,1.0,0.0,0.0,8.0,2.0,25.0,26.0,9.0,35.0,0.0,6.0,11.0,4.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
Fran Perez,Fc Valencia,Extremo derecho,8.0,225.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,1.0,10.0,0.0,2.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Francisco Vieites,Real Betis Sevilla,Centrocampista ofensivo,4.0,360.0,0.0,0.0,7.0,5.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Franco Cervi,Celta Vigo,Extremo izquierdo,4.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Frenkie de Jong,Fc Barcelona,Centrocampista,9.0,280.0,1.0,1.0,0.0,0.0,3.0,2.0,67.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gabriel Misehouy,Fc Girona,Centrocampista ofensivo,7.0,222.0,1.0,0.0,0.0,0.0,6.0,2.0,33.0,6.0,1.0,17.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,92.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Gerard Gumbau,Rayo Vallecano,Centrocampista defensivo,11.0,473.0,0.0,1.0,0.0,0.0,7.0,3.0,43.0,25.0,7.0,28.0,0.0,0.0,4.0,12.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,74.0,14.0,7.0,2.0,0.0,0.0,0.0,9.0
Gerard Martin,Fc Barcelona,Lateral izquierdo,11.0,388.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,30.0,0.0,2.0,2.0,6.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Gerard Moreno,Fc Villarreal,Delantero centro,10.0,476.0,2.0,1.0,0.0,0.0,22.0,11.0,50.0,8.0,3.0,38.0,1.0,9.0,5.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,11.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
German Valera,Fc Valencia,Extremo derecho,8.0,148.0,0.0,0.0,0.0,0.0,3.0,2.0,67.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Giorgi Mamardashvili,Fc Valencia,Portero,16.0,1440.0,0.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,62.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
Giovani Lo Celso,Real Betis Sevilla,Centrocampista,13.0,944.0,7.0,1.0,0.0,0.0,25.0,13.0,52.0,71.0,20.0,28.0,0.0,11.0,44.0,10.0,5.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,14.0,24.0,84.0,41.0,18.0,7.0,3.0,2.0,1.0,2.0
Giuliano Simeone,Atletico Madrid,Extremo derecho,15.0,750.0,1.0,2.0,0.0,0.0,6.0,4.0,67.0,20.0,6.0,30.0,0.0,12.0,14.0,7.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,11.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Gorka Guruzeta,Athletic Bilbao,Delantero centro,19.0,986.0,5.0,2.0,0.0,0.0,28.0,13.0,46.0,2.0,0.0,0.0,0.0,3.0,14.0,26.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Hamari Traore,Real Sociedad,Lateral derecho,4.0,311.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
Hector Bellerin,Real Betis Sevilla,Lateral derecho,7.0,524.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,10.0,3.0,30.0,0.0,3.0,0.0,6.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Hector Fort,Fc Barcelona,Lateral derecho,9.0,275.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,40.0,0.0,1.0,1.0,3.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Hugo Alvarez,Celta Vigo,Extremo izquierdo,20.0,1281.0,4.0,1.0,0.0,0.0,22.0,8.0,36.0,27.0,5.0,19.0,0.0,9.0,12.0,21.0,8.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,12.0,79.0,5.0,1.0,0.0,1.0,1.0,0.0,13.0
Hugo Duro,Fc Valencia,Delantero centro,17.0,1384.0,6.0,2.0,0.0,0.0,29.0,11.0,38.0,5.0,0.0,0.0,0.0,5.0,35.0,24.0,7.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,10.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
