Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Kike Salas,15,919,0,2,0,0,6,0,0%,4,2,50%,0,2,3,10,18,11,0,0,3,0,0,0,0,0,0,0,7,0,1,5,79%,0,1,0,0,0,0,40
Kiko Femenia,18,1545,0,1,0,0,3,0,0%,37,14,38%,0,5,10,10,25,21,0,0,5,0,0,0,0,0,0,0,8,0,15,12,91%,0,5,0,0,0,0,29
Kirian Rodriguez,19,1613,0,3,0,0,19,8,42%,15,1,7%,0,4,15,8,9,17,0,0,2,0,0,0,0,0,0,0,4,0,11,15,87%,3,4,0,0,0,0,19
Koke Resurreccion,19,1178,1,1,0,0,7,3,43%,9,3,33%,0,2,10,16,14,20,0,0,4,0,0,0,0,0,0,1,0,0,8,7,88%,0,0,0,0,0,0,19
Kylian Mbappe,18,1548,12,2,0,0,80,42,53%,19,4,21%,1,26,17,13,0,2,0,0,2,0,0,1,5,4,0,0,0,0,41,26,86%,0,0,0,1,0,0,0
Ladislav Krejci,12,1000,2,0,0,0,8,4,50%,6,1,17%,0,1,5,11,15,6,2,0,6,0,0,1,0,0,0,0,8,0,0,3,90%,0,1,0,0,0,0,35
Lamine Yamal,17,1373,5,9,0,0,61,20,33%,41,8,20%,2,17,32,12,9,16,0,0,1,0,0,2,0,0,0,0,0,0,53,29,78%,0,1,0,0,0,0,3
Leandro Cabrera,16,1350,2,1,0,0,9,3,33%,11,2,18%,1,1,4,10,16,13,0,0,2,0,0,0,0,0,0,0,7,0,1,6,75%,0,9,0,0,0,0,77
Leo Roman,5,450,0,0,18,7,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57%,0,0,0,0,0,0,1
Logan Costa,15,1231,2,0,0,0,7,4,57%,1,0,0%,0,0,2,7,8,11,0,0,2,0,2,1,0,0,0,0,6,0,0,0,88%,0,1,0,0,0,0,45
Loic Bade,16,1371,0,1,0,0,5,2,40%,3,0,0%,0,2,2,13,14,19,2,0,4,0,0,0,0,0,0,0,7,0,9,2,86%,0,2,0,0,0,0,66
Lorenzo Aguado,1,4,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,2
Luca de la Torre,1,4,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80%,0,0,0,0,0,0,0
Lucas Ocampos,2,175,0,1,0,0,4,2,50%,4,1,25%,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,73%,1,0,0,0,0,0,1
Lucas Rosa,19,1710,0,1,0,0,7,3,43%,34,5,15%,0,11,17,33,26,32,0,0,5,0,0,0,0,0,0,0,9,1,12,12,79%,0,3,0,0,0,0,42
Lucas Torro,19,1640,3,0,0,0,13,5,38%,1,0,0%,0,3,24,48,26,25,0,0,6,0,1,0,0,0,0,0,4,2,4,4,76%,0,5,0,0,0,0,38
Lucas Vazquez,17,1055,1,3,0,0,6,2,33%,35,6,17%,0,10,13,14,6,19,0,0,3,0,0,0,0,0,0,0,1,0,11,16,90%,9,1,0,0,0,0,13
Lucien Agoume,18,1016,0,0,0,0,5,0,0%,4,0,0%,0,3,3,22,19,8,0,0,4,1,1,0,0,0,0,0,6,0,11,7,82%,0,2,0,0,0,0,13
Luis Milla,20,1784,1,2,0,0,23,4,17%,125,32,26%,0,12,32,27,15,26,0,0,2,0,1,0,1,1,0,0,0,0,14,42,82%,59,61,8,3,0,0,17
Luis Perez,19,1670,0,0,0,0,3,1,33%,72,23,32%,0,11,17,11,20,21,0,0,2,0,1,0,0,0,0,0,5,0,3,18,79%,0,3,0,0,0,0,45
Luis Rioja,20,1585,4,0,0,0,14,6,43%,130,21,16%,2,14,21,9,15,14,0,0,3,0,0,0,2,2,0,0,0,0,21,18,77%,21,14,0,0,0,0,18
Luiz Junior,6,468,0,0,9,6,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,0,0,0,0,0,0,6
Luka Modric,19,843,1,3,0,0,10,3,30%,49,19,39%,0,4,8,13,11,4,0,0,5,0,0,0,0,0,0,0,1,0,4,31,91%,30,12,3,1,0,0,5
Luka Romero,6,199,0,0,0,0,2,0,0%,10,3,30%,0,1,3,3,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,4,79%,3,1,0,0,0,0,0
Luka Sucic,16,1172,1,1,0,0,29,8,28%,10,1,10%,2,7,14,10,11,13,0,0,1,0,0,0,0,0,0,0,2,0,17,15,85%,0,0,0,0,0,0,10
Malcom Adu Ares,1,19,0,0,0,0,0,0,0%,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63%,0,0,0,0,0,0,0
Mamadou Sylla,14,756,2,1,0,0,13,3,23%,4,0,0%,0,3,14,7,1,1,0,0,1,0,0,1,2,2,0,0,0,0,2,7,65%,0,0,0,0,0,0,9
Manu Bueno,2,74,1,0,0,0,3,1,33%,0,0,0%,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88%,0,0,0,0,0,0,2
Manu Sanchez,16,1302,0,0,0,0,5,0,0%,38,9,24%,0,6,9,26,16,27,0,0,5,0,1,0,0,0,0,0,2,0,3,6,69%,3,5,0,0,0,0,24
Manuel Fuster,14,423,1,0,0,0,10,3,30%,20,5,25%,0,4,16,6,1,3,0,0,0,0,0,0,0,0,0,0,1,0,3,14,88%,7,3,0,0,0,0,6
Manuel Morlanes,16,1033,0,0,0,0,9,0,0%,7,3,43%,0,2,10,11,23,21,0,0,5,0,0,0,0,0,0,0,7,0,1,6,89%,1,1,0,0,0,0,15
Marash Kumbulla,18,1462,1,0,0,0,5,2,40%,3,2,67%,0,0,21,22,15,14,0,0,6,0,0,0,0,0,0,0,20,0,1,1,86%,0,3,0,0,0,0,89
Marc Bartra,12,1016,2,0,0,0,9,4,44%,0,0,0%,0,0,10,7,24,10,0,0,1,0,1,0,0,0,0,0,8,0,4,0,79%,0,4,0,1,0,0,71
Marc Bernal,3,242,0,0,0,0,2,1,50%,0,0,0%,0,0,3,4,1,6,0,0,2,0,0,0,0,0,0,0,1,0,2,1,93%,0,0,0,0,0,0,4
Marc Cardona,7,89,0,0,0,0,2,0,0%,0,0,0%,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88%,0,0,0,0,0,0,0
Marc Casado,17,1227,0,3,0,0,11,0,0%,6,0,0%,0,3,30,19,17,19,0,0,4,1,0,0,0,0,0,0,5,1,2,7,89%,0,0,0,0,0,0,12
Marc Domenech,3,115,0,0,0,0,3,1,33%,2,1,50%,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,75%,0,0,0,0,0,0,0
Marc Roca,10,749,0,1,0,0,8,0,0%,7,4,57%,0,1,5,15,8,9,0,0,3,0,0,0,0,0,0,0,5,0,4,11,88%,1,1,1,1,0,0,8
Marc-Andre ter Stegen,6,497,0,0,11,5,0,0,0%,0,0,0%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,0,1,0,0,0,0,2
Marcao,10,455,0,0,0,0,0,0,0%,0,0,0%,0,0,9,7,6,6,0,0,4,1,1,0,0,0,0,0,6,0,0,0,88%,0,1,0,0,0,0,26
Marcos Alonso,15,1264,0,0,0,0,13,5,38%,17,3,18%,0,1,11,12,15,9,0,0,5,1,0,0,0,0,0,0,4,1,6,8,89%,8,6,0,4,1,0,58
Marcos Andre,13,699,1,1,0,0,10,1,10%,0,0,0%,0,2,20,9,2,3,0,0,4,0,0,0,0,0,0,0,1,0,10,6,63%,0,0,0,0,0,0,5
Marcos Llorente,15,1039,2,2,0,0,9,4,44%,31,11,35%,1,7,9,9,10,19,1,0,0,1,0,0,0,0,0,0,1,0,5,12,86%,0,0,0,0,0,0,22
Mario Maroto,1,19,0,1,0,0,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73%,0,0,0,0,0,0,1
Mario Martin,17,1012,0,1,0,0,13,6,46%,3,0,0%,0,2,30,25,12,16,0,0,3,1,0,0,0,0,0,0,4,1,12,5,86%,0,2,0,0,0,0,31
Marko Dmitrovic,14,1260,0,0,51,22,0,0,0%,0,0,0%,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42%,0,3,0,0,0,0,17
Martin Tejon,4,49,0,0,0,0,1,1,100%,1,0,0%,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,79%,0,0,0,0,0,0,0
Martin Valjent,16,1413,0,0,0,0,3,1,33%,2,0,0%,0,1,6,8,13,9,0,0,3,0,0,0,0,0,0,0,6,0,3,0,86%,0,8,0,0,0,0,83
Martin Zubimendi,19,1624,1,1,0,0,12,5,42%,6,1,17%,0,7,15,27,24,28,0,0,4,0,0,1,0,0,0,0,9,0,15,12,85%,0,5,0,0,0,0,40
Marvin Park,10,542,0,0,0,0,1,0,0%,22,4,18%,0,5,11,10,5,5,0,0,3,0,1,0,0,0,0,0,3,0,1,2,80%,0,2,0,0,0,0,12
Mateo Flores,5,142,0,0,0,0,0,0,0%,1,1,100%,0,0,1,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79%,0,0,0,0,0,0,3
Mateo Mejia,1,11,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Mateu Morey,5,309,0,0,0,0,0,0,0%,13,1,8%,0,1,5,8,9,6,0,0,1,0,0,0,0,0,0,0,0,1,4,2,82%,0,0,0,0,0,0,8
Matija Nastasic,15,1208,1,0,0,0,2,1,50%,0,0,0%,0,0,3,11,13,8,1,0,2,0,2,0,0,0,0,0,19,0,1,0,83%,0,5,0,0,0,0,92
Mauro Arambarri,19,1281,5,0,0,0,26,9,35%,8,0,0%,1,4,21,21,5,9,0,0,6,0,0,0,2,2,0,0,2,0,9,8,72%,1,0,0,1,1,1,20
Maximiliano Caufriez,1,90,0,0,0,0,0,0,0%,0,0,0%,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,79%,0,1,0,0,0,0,4
Miguel de la Fuente,19,1273,1,3,0,0,24,12,50%,7,1,14%,0,4,23,19,3,4,0,0,3,0,0,0,1,1,0,0,2,1,8,5,56%,0,0,0,0,0,0,15
Miguel Gutierrez,18,1553,1,4,0,0,19,8,42%,98,25,26%,0,13,15,12,13,16,0,0,2,0,0,0,0,0,0,0,3,0,20,28,90%,14,12,3,1,0,0,20
Mihailo Ristic,4,128,0,0,0,0,0,0,0%,3,0,0%,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,82%,0,0,0,0,0,0,4
Mika Marmol,14,1052,0,0,0,0,6,0,0%,20,6,30%,0,4,3,17,20,12,0,0,2,0,1,0,0,0,0,0,9,0,5,6,82%,0,2,0,0,0,0,38
Mikel Jauregizar,17,1015,1,0,0,0,9,1,11%,16,3,19%,0,3,17,27,14,18,0,0,3,1,0,0,0,0,0,0,1,0,10,12,85%,4,5,0,0,0,0,13
Mikel Oyarzabal,18,1199,4,2,0,0,24,8,33%,5,2,40%,1,10,12,9,1,8,0,0,3,1,0,1,2,2,0,0,0,0,2,6,71%,0,0,0,0,0,0,7
Mikel Vesga,13,403,0,0,0,0,1,0,0%,2,0,0%,0,1,0,6,7,6,0,0,1,0,0,0,0,0,0,0,0,0,2,7,82%,0,0,0,0,0,0,5
Min Su Kim,3,21,0,0,0,0,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,0,0,0,0,0,0,0
Moi Gomez,15,504,0,0,0,0,2,0,0%,14,5,36%,0,2,5,9,5,6,0,0,1,0,0,0,0,0,0,1,1,1,7,4,81%,2,3,0,0,0,0,4
Moussa Diarra,15,1119,0,0,0,0,1,0,0%,12,3,25%,0,1,14,16,11,15,0,0,3,0,0,1,0,0,0,0,2,1,4,1,83%,0,2,0,0,0,0,20
Munir El Haddadi,11,430,1,0,0,0,6,3,50%,7,0,0%,0,2,16,9,0,8,0,0,1,0,0,0,0,0,0,0,1,0,1,2,73%,1,2,0,1,0,0,1
Nabil Aberdin,7,262,0,0,0,0,2,0,0%,0,0,0%,0,1,6,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,60%,0,0,0,0,0,0,6
Nabil Fekir,2,180,0,1,0,0,7,1,14%,10,5,50%,0,3,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86%,6,0,0,0,0,0,0
Nacho Vidal,5,124,0,0,0,0,0,0,0%,2,0,0%,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,77%,0,0,0,0,0,0,6
Naci Unuvar,2,31,0,0,0,0,1,0,0%,2,1,50%,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75%,0,0,0,0,0,0,0
Nahuel Molina,14,918,0,3,0,0,5,1,20%,35,8,23%,0,5,2,6,9,10,0,0,0,0,0,0,0,0,0,0,0,0,9,9,80%,9,2,1,0,0,0,21
Nahuel Tenaglia,17,1471,1,1,0,0,11,3,27%,36,4,11%,0,9,24,19,22,28,2,0,6,0,0,0,0,0,0,0,2,0,8,9,72%,0,2,0,0,0,0,49
Natan,15,958,0,0,0,0,7,2,29%,2,1,50%,0,2,5,9,13,13,0,0,2,1,0,0,0,0,0,0,6,0,0,3,89%,0,1,0,0,0,0,51
Nayef Aguerd,15,1279,0,0,0,0,11,4,36%,0,0,0%,1,2,17,8,10,19,0,0,3,0,0,0,0,0,0,0,10,0,3,4,89%,0,5,0,0,0,0,56
Nemanja Gudelj,18,1530,0,1,0,0,10,3,30%,29,11,38%,0,5,11,16,19,13,1,0,3,0,0,0,0,0,0,0,5,0,3,11,87%,18,12,4,2,1,0,48
Nico Serrano,3,103,0,0,0,0,4,0,0%,8,1,13%,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,78%,1,2,0,0,0,0,1
Nico Williams,18,1327,1,3,0,0,33,11,33%,74,20,27%,1,22,23,13,5,15,0,0,1,0,0,0,0,0,0,0,0,0,39,30,78%,19,3,0,1,1,0,1
Nicolas Pepe,12,588,1,2,0,0,23,10,43%,9,1,11%,3,6,7,6,3,1,0,0,1,0,0,1,0,0,0,0,1,0,12,7,84%,2,2,0,1,0,0,3
Oihan Sancet,16,1013,7,1,0,0,23,10,43%,14,2,14%,1,6,16,10,5,6,0,0,2,0,0,0,1,1,0,0,0,0,15,12,84%,0,0,0,0,0,0,4
Oliver McBurnie,16,754,0,3,0,0,11,4,36%,1,1,100%,0,4,10,13,4,4,0,0,0,0,0,0,0,0,0,0,1,0,8,13,68%,0,0,0,0,0,0,9
Omar Alderete,19,1696,0,0,0,0,20,6,30%,4,1,25%,1,5,6,18,23,17,0,0,4,0,1,0,0,0,0,0,17,0,7,10,70%,0,17,0,3,2,0,96
Omar El Hilali,19,1658,0,1,0,0,1,0,0%,24,3,13%,0,4,15,31,18,39,0,0,7,0,1,0,0,0,0,0,6,0,10,4,80%,0,9,0,0,0,0,67
Omar Mascarell,17,1002,0,0,0,0,3,1,33%,1,0,0%,0,1,8,15,27,7,0,0,3,0,0,0,0,0,0,0,10,1,5,2,87%,0,0,0,0,0,0,33
Oriol Romeu,14,878,0,0,0,0,2,0,0%,5,2,40%,0,1,12,23,6,16,0,0,5,0,1,0,0,0,0,0,4,0,2,4,91%,0,0,0,0,0,0,10
Orjan Nyland,13,1143,0,0,36,17,0,0,0%,0,0,0%,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,58%,0,0,0,0,0,0,9
Orri Steinn Oskarsson,13,455,2,0,0,0,11,4,36%,1,1,100%,0,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55%,0,0,0,0,0,0,7
Oscar De Marcos,16,1004,0,4,0,0,2,0,0%,34,8,24%,0,6,5,10,10,12,1,0,0,0,0,0,0,0,0,0,1,0,1,12,78%,0,0,0,0,0,0,22
Oscar Mingueza,19,1506,2,5,0,0,16,4,25%,70,12,17%,0,8,11,14,11,12,0,0,3,1,0,1,0,0,0,0,4,0,19,20,79%,4,12,1,6,3,1,20
Oscar Rodriguez,13,672,1,3,0,0,14,4,29%,21,5,24%,1,6,11,10,10,8,0,0,3,1,0,1,0,0,0,0,1,0,13,9,73%,12,10,0,5,1,0,9
Oscar Trejo,8,243,0,0,0,0,2,0,0%,4,1,25%,0,0,5,8,1,4,0,0,1,0,0,0,0,0,0,0,0,0,4,5,87%,1,0,0,0,0,0,2
Oscar Valentin,20,1306,0,0,0,0,3,1,33%,2,1,50%,0,0,24,38,21,34,0,0,2,0,0,0,0,0,0,0,4,0,4,5,80%,0,1,0,0,0,0,40
Pablo Barrios,15,1212,0,2,0,0,16,4,25%,17,2,12%,0,1,13,16,19,16,0,0,3,0,0,0,0,0,0,0,1,0,11,14,88%,0,0,0,0,0,0,19
Pablo Duran,10,454,2,1,0,0,9,2,22%,7,2,29%,2,5,7,12,4,3,0,0,2,0,0,0,0,0,0,0,1,0,2,6,77%,1,0,0,0,0,0,3
Pablo Fornals,15,1053,1,0,0,0,16,3,19%,46,14,30%,0,10,7,9,14,7,0,0,2,0,0,0,0,0,0,0,0,0,4,24,81%,12,7,2,0,0,0,7
Pablo Gavi,11,321,0,1,0,0,2,0,0%,5,1,20%,0,0,6,15,6,6,0,0,1,0,0,0,0,0,0,0,1,0,2,5,85%,0,0,0,0,0,0,2
Pablo Ibanez,16,672,0,1,0,0,13,3,23%,4,1,25%,0,1,11,13,12,5,0,0,2,0,0,0,0,0,0,0,5,0,6,1,77%,0,0,0,0,0,0,15
Pablo Maffeo,15,1141,0,1,0,0,4,1,25%,44,18,41%,0,4,18,8,12,16,0,0,2,0,0,0,0,0,0,0,6,1,21,17,73%,0,2,1,0,0,0,30
Pablo Marin,6,97,0,0,0,0,0,0,0%,1,0,0%,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,66%,0,0,0,0,0,0,3
Pablo Torre,7,248,3,1,0,0,3,3,100%,9,3,33%,0,2,6,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,85%,6,2,0,1,1,1,3
Papa Dame Ba,1,48,0,0,0,0,1,0,0%,1,0,0%,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42%,0,0,0,0,0,0,0
Pape Gueye,18,1235,0,0,0,0,29,8,28%,12,3,25%,1,7,40,21,13,17,0,0,5,1,0,0,0,0,0,0,2,0,4,10,81%,0,4,0,0,0,0,24
Pathe Ciss,16,799,1,1,0,0,11,1,9%,2,0,0%,0,2,14,22,11,11,0,0,5,0,0,0,0,0,0,0,5,0,7,11,83%,0,0,0,0,0,0,27
Pau Cabanes,9,161,1,0,0,0,4,2,50%,6,0,0%,0,4,7,4,3,4,0,0,0,0,0,1,0,0,0,0,0,0,5,4,78%,0,0,0,0,0,0,1
Pau Cubarsi,20,1580,0,1,0,0,7,0,0%,2,1,50%,0,3,8,13,11,13,2,0,3,0,1,0,0,0,0,0,5,0,4,7,93%,0,0,0,0,0,0,43
Pau Navarro,7,337,0,0,0,0,0,0,0%,3,0,0%,0,0,3,6,1,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,90%,0,1,0,0,0,0,12
Pau Victor,13,190,2,1,0,0,8,4,50%,2,0,0%,0,2,3,5,2,1,0,0,2,0,0,0,0,0,0,0,1,0,7,4,77%,0,0,0,0,0,0,3
Paulo Gazzaniga,20,1800,0,0,40,27,0,0,0%,0,0,0%,0,0,3,1,0,1,0,0,3,0,0,0,0,0,3,0,0,1,3,0,81%,0,0,0,0,0,0,6
Pedri Gonzalez,20,1517,4,2,0,0,15,8,53%,25,7,28%,0,5,24,7,14,19,0,0,2,0,0,0,0,0,0,0,2,0,19,32,89%,8,4,2,0,0,0,8
Pedro Diaz,9,199,0,0,0,0,4,0,0%,6,2,33%,0,1,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,6,83%,4,2,1,0,0,0,2
Peio Canales,1,20,0,0,0,0,1,0,0%,1,0,0%,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,0,0,0,0,0,0,1
Pejino,1,16,0,0,0,0,1,0,0%,1,0,0%,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,0,0,0,0,0,0
Pep Chavarria,16,1110,0,1,0,0,4,1,25%,33,6,18%,0,11,12,7,16,15,1,0,1,0,0,0,0,0,0,0,7,0,3,4,81%,0,0,0,0,0,0,50
Pepelu,17,1109,1,2,0,0,9,4,44%,85,22,26%,0,9,10,15,7,14,0,0,5,1,0,0,1,1,0,0,6,0,4,24,84%,46,27,3,0,0,0,17
Peque,15,725,0,1,0,0,9,2,22%,7,1,14%,0,4,16,15,7,3,0,0,1,0,1,0,0,0,0,0,0,0,6,10,82%,1,0,0,0,0,0,3
Pere Milla,8,226,0,0,0,0,5,2,40%,9,2,22%,0,3,8,3,2,1,0,0,2,0,0,0,0,0,0,0,2,0,1,2,61%,3,5,0,1,0,0,1
Peter Gonzalez,12,335,0,0,0,0,6,1,17%,6,3,50%,1,0,9,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,76%,0,0,0,1,0,0,4
Pol Lozano,15,1039,0,0,0,0,2,1,50%,11,6,55%,0,1,9,29,11,23,0,0,7,0,0,0,0,0,0,0,2,0,2,11,85%,4,3,1,0,0,0,11
Rafa Mir,6,300,0,1,0,0,9,1,11%,3,1,33%,1,2,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,68%,0,0,0,0,0,0,5
Rafel Bauza,4,174,0,0,0,0,3,0,0%,0,0,0%,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,85%,0,1,0,0,0,0,4
Ramon Terrats,11,130,0,0,0,0,2,0,0%,5,1,20%,0,0,2,2,2,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,85%,0,1,0,0,0,0,3
Randy Nteka,15,645,1,0,0,0,8,3,38%,4,0,0%,0,2,8,21,3,5,0,0,3,0,0,0,0,0,0,0,1,0,3,8,64%,0,0,0,0,0,0,10
Raphinha,20,1676,11,6,0,0,66,27,41%,130,33,25%,3,38,25,4,5,15,0,0,2,0,0,2,1,1,0,0,2,0,36,63,78%,55,21,5,10,3,0,16
Raul Albiol,15,1188,0,0,0,0,2,0,0%,0,0,0%,0,0,6,11,6,9,0,0,4,0,2,0,0,0,0,1,9,0,0,0,90%,0,1,0,0,0,0,68
Raul Asencio,8,447,0,1,0,0,0,0,0%,0,0,0%,0,0,7,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,3,2,92%,0,0,0,0,0,0,27
Raul Chasco,2,130,0,0,0,0,0,0,0%,3,1,33%,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65%,0,2,0,0,0,0,1
Raul Garcia,19,551,2,0,0,0,14,6,43%,4,1,25%,0,5,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,67%,0,0,0,0,0,0,2
Raul Moro,19,1306,3,1,0,0,23,7,30%,77,22,29%,1,16,13,3,9,8,0,0,1,0,0,0,0,0,0,0,0,0,35,27,74%,18,8,4,0,0,0,8
Reinildo Mandava,13,647,0,0,0,0,1,1,100%,3,0,0%,0,1,8,13,11,10,0,0,3,0,0,0,0,0,0,0,3,0,2,2,82%,0,0,0,0,0,0,22
Renato Tapia,18,1093,1,0,0,0,5,3,60%,10,0,0%,0,7,17,17,12,16,0,0,4,0,0,0,0,0,0,0,15,0,7,2,77%,0,1,0,0,0,0,45
Ricardo Rodriguez,8,463,0,0,0,0,0,0,0%,8,3,38%,0,3,2,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,81%,0,1,0,0,0,0,12
Robert Lewandowski,19,1556,16,2,0,0,66,31,47%,3,0,0%,5,11,24,17,2,3,0,0,1,0,0,0,3,2,0,0,2,0,14,18,74%,0,0,0,3,0,0,17
Robert Navarro,17,934,1,0,0,0,12,5,42%,21,2,10%,1,5,16,8,14,18,0,0,2,0,0,0,0,0,0,0,0,0,20,7,79%,4,1,0,0,0,0,5
Roberto Fernandez,1,28,1,0,0,0,1,1,100%,0,0,0%,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,67%,0,0,0,0,0,0,0
Roberto Lopez,11,374,0,1,0,0,5,0,0%,21,5,24%,0,1,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,2,9,83%,9,7,2,0,0,0,5
Robin Le Normand,11,833,0,0,0,0,4,0,0%,1,0,0%,0,0,8,17,3,8,0,0,3,0,0,0,0,0,0,0,3,0,1,2,89%,0,1,0,0,0,0,36
Rodri Sanchez,3,118,0,0,0,0,2,2,100%,6,4,67%,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,86%,3,0,0,0,0,0,1
Rodrigo Abajas,1,65,0,0,0,0,1,0,0%,1,0,0%,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55%,0,0,0,0,0,0,0
Rodrigo De Paul,19,1074,3,3,0,0,10,3,30%,35,10,29%,0,6,17,7,4,9,0,0,4,0,0,0,0,0,0,0,1,1,7,20,83%,6,3,0,0,0,0,8
Rodrigo Riquelme,10,405,0,0,0,0,11,4,36%,21,2,10%,0,9,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,88%,6,2,0,0,0,0,2
Rodrygo Goes,17,1127,6,4,0,0,29,14,48%,46,14,30%,0,13,19,4,5,7,0,0,0,0,0,1,0,0,0,0,1,0,24,33,90%,30,7,3,1,0,0,3
Romain Perraud,18,1318,0,0,0,0,11,2,18%,49,5,10%,0,10,26,21,18,16,0,0,4,1,1,0,0,0,0,0,2,1,7,6,82%,0,3,0,0,0,0,39
Ronald Araujo,1,90,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93%,0,0,0,0,0,0,2
Ruben Garcia,19,1170,2,3,0,0,11,4,36%,65,18,28%,0,5,16,14,10,21,0,0,1,0,0,0,0,0,0,0,1,0,6,19,81%,17,20,4,1,1,1,17
Ruben Pena,15,508,0,0,0,0,8,2,25%,27,2,7%,1,8,4,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,64%,3,0,0,0,0,0,8
Ruben Vargas,2,92,0,0,0,0,4,1,25%,3,1,33%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,87%,0,1,1,0,0,0,0
Rui Silva,15,1350,0,0,37,18,0,0,0%,0,0,0%,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,76%,0,1,0,0,0,0,8
Samu Costa,17,1412,0,2,0,0,19,7,37%,9,4,44%,0,6,34,27,19,19,0,0,6,1,0,0,0,0,0,0,6,0,4,11,81%,0,0,0,1,1,0,43
