Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Hugo Novoa,4,222,0,0,0,0,1,0,0%,7,2,29%,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,1,80%,0,0,0,0,0,0,5
Hugo Sotelo,14,716,0,0,0,0,3,0,0%,23,8,35%,0,3,7,12,2,12,0,0,4,0,0,0,0,0,0,0,0,0,4,13,88%,12,5,0,0,0,0,3
Iago Aspas,16,1206,6,3,0,0,37,17,46%,7,3,43%,1,1,27,12,6,7,0,0,4,1,0,1,3,2,0,0,1,0,9,22,75%,1,0,0,2,0,0,2
Igor Zubeldia,17,1475,0,0,0,0,6,3,50%,1,0,0%,0,0,8,25,20,16,1,0,5,0,1,0,0,0,0,0,14,0,1,3,86%,0,4,0,0,0,0,58
Iker Almena,2,48,0,1,0,0,1,0,0%,4,0,0%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,81%,0,0,0,0,0,0,2
Iker Benito,2,37,0,0,0,0,0,0,0%,2,0,0%,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82%,0,0,0,0,0,0,2
Iker Cordoba,1,6,0,0,0,0,0,0,0%,1,1,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100%,0,0,0,0,0,0,1
Iker Losada,10,335,0,0,0,0,5,1,20%,4,1,25%,0,1,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,6,77%,0,0,0,0,0,0,2
Iker Munoz,8,188,0,0,0,0,2,0,0%,2,0,0%,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74%,0,0,0,0,0,0,3
Ilaix Moriba,17,990,0,1,0,0,15,4,27%,5,2,40%,0,4,33,12,5,22,0,0,6,1,0,0,0,0,0,0,3,0,8,15,89%,0,1,0,0,0,0,15
Ilias Akhomach,11,584,1,0,0,0,17,6,35%,18,3,17%,0,6,21,9,2,8,0,0,1,0,0,0,0,0,0,0,0,0,18,9,80%,2,0,0,0,0,0,9
Inaki Pena,15,1303,0,0,34,18,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87%,0,0,0,0,0,0,23
Inaki Williams,19,1555,4,6,0,0,33,12,36%,57,10,18%,2,25,28,15,9,7,0,0,0,0,0,1,0,0,0,0,2,0,27,21,69%,0,0,0,0,0,0,16
Inigo Lekue,7,373,0,0,0,0,0,0,0%,9,0,0%,0,0,1,3,3,4,0,0,1,0,0,0,0,0,0,0,1,1,1,3,78%,0,0,0,0,0,0,13
Inigo Martinez,18,1600,0,1,0,0,9,2,22%,1,1,100%,0,1,18,10,16,9,0,0,3,0,0,0,0,0,0,0,5,0,0,11,91%,0,3,0,0,0,0,59
Inigo Ruiz de Galarreta,16,952,0,2,0,0,3,0,0%,21,6,29%,0,0,11,23,7,17,0,0,3,0,0,0,0,0,0,0,2,0,9,21,86%,5,6,1,0,0,0,8
Irvin Cardona,16,607,1,1,0,0,10,3,30%,13,4,31%,0,4,8,8,4,6,0,0,1,0,0,0,0,0,0,0,1,0,3,9,65%,0,0,0,1,0,0,8
Isaac Romero,17,1327,2,2,0,0,36,13,36%,11,2,18%,1,11,21,24,3,3,0,0,5,0,1,1,1,0,0,0,1,0,12,12,75%,0,0,0,0,0,0,15
Isco Alarcon,5,277,1,1,0,0,4,1,25%,14,4,29%,0,3,7,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,5,10,83%,6,10,3,0,0,0,1
Isi Palazon,20,1211,3,3,0,0,30,8,27%,48,18,38%,0,7,29,27,7,15,0,0,4,0,0,0,0,0,0,0,1,0,13,20,81%,29,6,3,1,0,0,9
Ismael Bekhoucha,1,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Isra Dominguez,1,18,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,0,0,0,0,0,0
Ivan Balliu,15,734,0,0,0,0,0,0,0%,12,2,17%,0,1,4,12,6,8,0,0,2,0,0,0,0,0,0,0,2,0,2,5,76%,0,1,0,0,0,0,17
Ivan Martin,16,1174,1,0,0,0,4,1,25%,9,1,11%,0,2,10,13,5,9,0,0,1,0,0,0,0,0,0,0,2,0,14,17,92%,0,0,0,0,0,0,4
Ivan Sanchez,18,744,1,1,0,0,6,3,50%,46,7,15%,1,5,24,10,8,12,0,0,4,0,0,0,0,0,0,0,3,0,15,9,82%,10,3,1,1,1,0,3
Ivan Villar,4,360,0,0,11,9,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79%,0,0,0,0,0,0,4
Jailson,6,451,0,0,0,0,2,1,50%,1,0,0%,0,0,4,2,8,7,0,0,0,0,0,0,0,0,0,1,3,0,3,0,90%,0,1,0,0,0,0,18
Jaime Mata,17,371,0,0,0,0,8,3,38%,8,1,13%,1,2,7,13,1,0,0,0,4,0,0,0,0,0,0,0,2,0,3,3,74%,0,0,0,0,0,0,6
James Rodriguez,6,140,0,0,0,0,4,2,50%,13,2,15%,0,1,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,5,2,89%,6,3,0,0,0,0,0
Jan Oblak,19,1710,0,0,45,13,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75%,0,0,0,0,0,0,5
Jasper Cillessen,18,1589,0,0,64,28,0,0,0%,0,0,0%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,66%,0,3,0,0,0,0,12
Javi Galan,12,844,0,2,0,0,3,0,0%,26,6,23%,0,6,15,19,5,15,1,0,5,0,1,0,0,0,0,0,2,0,16,7,84%,0,2,0,0,0,0,12
Javi Guerra,19,1176,0,1,0,0,20,3,15%,27,7,26%,0,9,15,11,9,15,0,0,1,0,0,0,0,0,0,0,0,0,11,9,78%,7,8,0,0,0,0,22
Javi Hernandez,17,1216,0,1,0,0,5,1,20%,27,2,7%,0,4,5,30,17,12,1,0,2,0,0,0,0,0,0,0,3,0,8,10,74%,0,2,0,1,0,0,54
Javi Llabres,1,57,0,0,0,0,1,0,0%,4,1,25%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95%,0,0,0,0,0,0,0
Javi Lopez,14,924,0,0,0,0,4,1,25%,21,3,14%,0,5,11,15,4,9,1,0,2,0,0,0,0,0,0,0,3,1,4,2,85%,0,0,0,0,0,0,24
Javi Martinez,1,6,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,0,0,0,0,0,0
Javi Munoz,20,1351,0,2,0,0,11,3,27%,15,4,27%,0,3,14,15,16,21,0,0,1,0,0,0,0,0,0,0,1,0,8,15,79%,0,0,0,0,0,0,19
